1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8.275440000000000396e+01,7.233990000000000009e+01,-3.893009999999999593e+01,-2.909115000000000251e+01,-1.115254000000000048e+02,9.838470000000000937e+00,8.171519999999999584e+01,-8.078789999999999694e+00,-7.441499999999999782e-01,1.166169000000000011e+02,-6.318900000000000716e+01,3.993407999999999447e+01,-2.654785000000000039e+01,-1.304667000000000030e+02,2.871250000000000213e+01,1.528816000000000201e+02,5.026259999999999906e+01,-9.746760000000000090e+00,2.064847999999999928e+01,2.761829999999999785e+01,0.000000000000000000e+00
-7.748753999999999920e+00,1.364814000000000149e+01,4.558950000000000102e+01,-1.127925000000000040e+02,-5.623185999999999751e+01,6.345855000000000246e+01,-4.092224000000000217e+01,1.517708000000000013e+01,5.642799999999999899e-02,-2.010590999999999795e+01,-7.316970000000000596e+01,8.470800000000001262e+01,3.572099999999999653e+01,5.760117999999999938e+01,-3.511749999999999972e+01,-1.211189999999999998e+02,-8.720999999999999375e+01,9.916560000000000930e-01,1.744664999999999822e+01,1.992599999999999838e+01,0.000000000000000000e+00
9.442299999999999471e+00,4.903911999999999161e+00,3.829320000000000590e+01,2.819124000000000052e+01,7.842520000000000380e+01,1.125672000000000139e+01,9.637760000000000105e+01,-9.180660000000000309e+01,1.020299999999999985e+00,6.378359999999999985e+01,-4.806851999999999947e+01,-3.649248000000000047e+00,5.930399999999999494e+01,6.084351000000000198e+01,1.256500000000000128e+01,1.111173999999999893e+02,1.827723999999999904e+01,-4.899239999999999817e+00,3.034159999999999968e+01,-2.025567000000000206e+01,0.000000000000000000e+00
-5.150912000000000290e+01,-2.019526999999999717e+01,6.109289999999999443e-01,-5.829246000000000549e+01,-1.465792000000000073e+01,-7.101666000000000167e+01,-6.037695999999999685e+01,-6.050479999999999592e+01,1.783099999999999907e+00,-4.983455999999999619e+01,-4.588163999999999731e+01,1.297656000000000063e+02,-3.021164999999999878e+01,1.593136999999999830e+02,1.762049999999999983e+01,4.878505999999999432e+01,1.700651999999999759e+02,8.332920000000001437e+00,3.019669999999999987e+01,1.928744999999999976e+01,0.000000000000000000e+00
3.178073999999999799e+01,-2.346243000000000123e+01,1.332837000000000138e+01,1.439775000000000205e+02,1.918079999999999785e+01,-1.416390000000000100e+02,2.613248000000000015e+00,2.490258000000000393e+01,-1.405200000000000005e+00,4.221627000000000152e+01,-2.254506000000000299e+01,-6.846983999999999959e+00,1.537480000000000047e+01,7.764666000000000068e+00,7.164500000000001023e+01,1.087203999999999837e+01,9.558520000000000039e+01,-1.031135999999999875e+01,3.107760000000000300e+00,4.553010000000000446e+00,0.000000000000000000e+00
2.520926000000000045e+02,6.453799999999999670e+01,3.232383000000000095e+01,-7.030313999999999908e+01,4.106407999999999703e+01,-5.456216999999999473e+01,1.964544000000000068e+01,1.862367000000000061e+01,1.140099999999999864e-01,5.761431000000000324e+01,-8.381850000000000023e+01,-7.163927999999999940e+01,-4.364149999999999352e+01,2.393481999999999843e+01,-5.547499999999999432e+01,-2.236918000000000006e+01,4.148079999999999501e+01,1.552799999999999958e+00,2.230884999999999962e+01,5.614379999999999926e-01,0.000000000000000000e+00
8.002052000000000831e+00,-3.243126000000000175e+01,-1.081542000000000137e+01,1.385100000000000087e+01,-7.558360000000000412e+01,-1.268240999999999872e+02,6.827519999999999811e+01,-6.153300000000000125e+01,-4.332799999999999985e-01,6.990389999999999304e+01,-2.584935000000000116e+01,-1.198296000000000028e+00,2.301949999999999719e+01,-1.433614000000000033e+02,1.068799999999999883e+01,-1.745579999999999998e+01,6.643236000000000274e+01,3.453239999999999643e+00,1.920776000000000039e+01,-4.222800000000000331e+00,0.000000000000000000e+00
-3.738789999999999836e+00,-2.883469999999999978e+00,1.799853000000000236e+01,1.654344000000000108e+02,1.406813999999999965e+01,6.729386999999999830e+01,-2.068159999999999954e+01,5.966209999999999525e+01,5.445999999999999730e-01,3.443444999999999823e+01,-3.952091999999999672e+01,-1.235519999999999925e+02,4.659550000000000303e+00,-4.189094000000000051e+01,-8.631999999999999318e+01,8.299448000000001002e+01,1.020983999999999980e+02,1.527000000000000135e+00,3.743710000000000093e+01,1.259387999999999863e+01,0.000000000000000000e+00
7.037731999999999744e+01,-6.306180000000000518e+01,2.267760000000000176e+01,8.538210000000000832e+01,-3.217445999999999628e+01,-9.637589999999999435e+00,-5.989568000000000580e+01,-3.537166999999999728e+00,1.689200000000000146e-01,-2.815958999999999879e+00,-4.048023000000000593e+01,9.054720000000000368e+01,-3.548300000000000409e+01,-1.359085000000000036e+02,6.341499999999999915e+00,-6.078980000000000672e+01,1.459807999999999950e+01,3.438480000000000203e+00,4.814590000000000458e+01,-2.707019999999999982e+01,0.000000000000000000e+00
-1.282152000000000100e+02,3.682874999999999943e+01,1.227435000000000009e+01,-1.370195999999999970e+00,-1.090908000000000015e+02,-1.723290000000000077e+02,9.066240000000000521e+01,7.509570000000000967e+00,-5.886299999999999866e-01,9.969120000000000203e+00,-1.615884000000000142e+01,-8.526239999999999952e+01,1.781395000000000195e+01,-1.346527000000000207e+01,3.921550000000000580e+01,-5.732119999999999749e+01,-8.095520000000000493e+00,-5.082959999999999923e+00,4.851390000000000668e+01,5.303340000000000032e+01,0.000000000000000000e+00
